15th Sep 2019|The Doll @ The Black Bull
6th Jul 2019|The Doll @ The Black Bull
30th June 2019|Roker Hotel
1st June 2019|The Doll @ The Black Bull
19th May 2019|Deuchars Arms
15th May 2019|Trillians Newcastle
9th Mar 2019|The Little Buildings Experience
23rd Feb 2019|Musiclounge Stockton
28th Oct 2018|The Little Buildings Experience
14th Oct 2018|The Horse And Groom
29th Sep 2018|Midgetpalooza 2
25th Sep 2018|Trillians Newcastle
9th Sep 2018|The Doll @ The Black Bull
14th Jun 2018|The Doll @ The Black Bull
2nd Jun 2018|The Little Buildings Experience
5th May 2018|The Doll @ The Black Bull
4th May 2018|The Little Buildings Experience
4th May 2018|Tour Of Tyneside
19th April 2018|Trillians Newcastle
25th Mar 2018|The Black Bull
19th Apr 2018|Trillians Newcastle
2nd Dec 2017|Byker Grave Festival
19th Nov 2017|Trillians Newcastle
16th Sep 2017|Midgetpalooza
